Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,8.83227781263571,1.41411798058979,11.2297148236429,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209,12.752287088717,5.60074465808154,2.72454336394854,1.45131466009755,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423,-2.35110067344623,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,2.49000000953674,..,..,..,1.69000005722046,..,7.90999984741211,..,..,11.1800003051758,..,..,11.710000038147,5.57999992370605
Afghanistan,AFG,"Population, total",SP.POP.TOTL,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835428
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,4.4967187466326,4.66834379545461,4.32155951673842,3.68269988149014,2.9905238360968,2.49383039084495,2.26827304079294,2.39697830237036,2.74661463795293,3.14310555651301,3.40760003260595,3.49459192739625,3.35560233082199,3.07705362914441,2.77803478841236,2.54783303994568,2.38430907940751,2.31307334941778,2.30381209309418,2.30341213305193
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109305182.952,12416161048.8412,15856678596.148,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,516.747870807558,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,65.173,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,12.6862687216715,6.78459655001657,8.68057078513406,26.4186641547444,-6.81116108898995,2.1785375238942,11.8041858089129,6.44121280934118,7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844,..,..
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
